time	c1	c2	c3	c1+c2+c3	impulse	boxcar	60Hz noise	c1+c2+c3+60Hz	white noise	c1+c2+c3+whitenoise
330	0.0000	0.0000	0.6451	0.6451	0.0000	0.0000	-0.0588	0.5864	0.0299	0.6751
335	0.0000	0.0000	0.5975	0.5975	0.0000	0.0000	-0.0588	0.5388	0.0479	0.6455
340	0.0000	0.0000	0.5490	0.5490	0.0000	0.0000	0.0951	0.6441	-0.0356	0.5134
345	0.0000	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.5000	0.0424	0.5424
350	0.0000	0.0000	0.4510	0.4510	0.0000	0.0000	-0.0951	0.3559	0.0393	0.4903
355	0.0000	0.0000	0.4025	0.4025	0.0000	0.0000	0.0588	0.4612	0.0318	0.4342
360	0.0000	0.0000	0.3549	0.3549	0.0000	0.0000	0.0588	0.4136	0.0731	0.4280
365	0.0000	0.0000	0.3087	0.3087	0.0000	0.0000	-0.0951	0.2136	0.0562	0.3648
370	0.0000	0.0000	0.2643	0.2643	0.0000	0.0000	0.0000	0.2643	-0.0143	0.2500
375	0.0000	0.0000	0.2222	0.2222	0.0000	0.0000	0.0951	0.3173	-0.0607	0.1615
380	0.0000	0.0000	0.1828	0.1828	0.0000	0.0000	-0.0588	0.1240	0.0121	0.1949
385	0.0000	0.0000	0.1464	0.1464	0.0000	0.0000	-0.0588	0.0877	-0.0877	0.0587
390	0.0000	0.0000	0.1135	0.1135	0.0000	0.0000	0.0951	0.2086	0.0754	0.1889
395	0.0000	0.0000	0.0843	0.0843	0.0000	0.0000	0.0000	0.0843	0.0735	0.1578
400	0.0000	0.0000	0.0590	0.0590	0.0000	0.0000	-0.0951	-0.0361	-0.0712	-0.0122
405	0.0000	0.0000	0.0381	0.0381	0.0000	0.0000	0.0588	0.0968	-0.0998	-0.0618
410	0.0000	0.0000	0.0215	0.0215	0.0000	0.0000	0.0588	0.0803	-0.0514	-0.0299
415	0.0000	0.0000	0.0096	0.0096	0.0000	0.0000	-0.0951	-0.0855	0.0701	0.0797
420	0.0000	0.0000	0.0024	0.0024	0.0000	0.0000	0.0000	0.0024	0.0558	0.0582
425	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0951	0.0951	-0.0862	-0.0862
430	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0588	-0.0588	-0.0262	-0.0262
435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0588	-0.0588	0.0161	0.0161
440	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0951	0.0951	-0.0723	-0.0723
445	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0041	0.0041
450	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0951	-0.0951	0.0701	0.0701
455	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0588	0.0588	0.0308	0.0308
460	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0588	0.0588	-0.0708	-0.0708
465	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0951	-0.0951	0.0762	0.0762
470	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0194	-0.0194
475	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003
480	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0044	0.0044
485	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0211	0.0211
490	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0634	-0.0634
495	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0706	0.0706
